bank_txn_id,transaction_date,value_date,amount,credit_amount,debit_amount,description,reference,utr,transaction_type,currency,balance
BNK_TXN00002,2026-08-02,2026-08-02,8830.9,8830.9,0.0,NEFT CR - METRO MOBILITY CABS - REF 539898 UTR UTR9703905715,REF-539898,UTR9703905715,CREDIT,INR,1199657.75
BNK_TXN00016,2026-08-03,2026-08-03,424158.93,424158.93,0.0,NEFT CR - NEXUS RETAIL SOLUTIONS - REF 783823 UTR UTR5618742930,REF-783823,UTR5618742930,CREDIT,INR,2666112.88
BNK_TXN00040_A,2026-08-10,2026-08-10,54864.64,54864.64,0.0,NEFT CR - SOLARIS ENERGY CORP - REF 903013 DUP1 UTR UTR7228002201,REF-903013-1,UTR7228002201,CREDIT,INR,2479426.67
BNK_TXN00046,2026-08-06,2026-08-06,268625.93,0.0,268625.93,REVERSAL/REFUND - SOLARIS ENERGY CORP - 888539 UTR UTR9072992279,REF-888539,UTR9072992279,DEBIT,INR,3870609.17
BNK_TXN00017,2026-08-17,2026-08-17,201217.71,201217.71,0.0,NEFT CR - BLUEWAVE MARITIME - REF 102260 UTR UTR4875962612,REF-102260,UTR4875962612,CREDIT,INR,1354540.4
BNK_TXN00042,2026-08-20,2026-08-20,13298.73,13298.73,0.0,NEFT CR - VORTEX MANUFACTURING - REF 973349 UTR UTR2785736751,REF-973349,UTR2785736751,CREDIT,INR,4355294.15
BNK_TXN00039_A,2026-08-20,2026-08-20,56539.56,56539.56,0.0,NEFT CR - INNOVATE DIGITAL LABS - REF 954596 DUP1 UTR UTR7852415525,REF-954596-1,UTR7852415525,CREDIT,INR,4537436.46
BNK_TXN00005,2026-08-21,2026-08-21,72892.88,72892.88,0.0,NEFT CR - TITANIUM INFRASTRUCTURE - REF 319684 UTR UTR2566942273,REF-319684,UTR2566942273,CREDIT,INR,2580170.95
BNK_TXN00038,2026-08-17,2026-08-17,11520.79,11520.79,0.0,NEFT CR - NEXUS RETAIL SOLUTIONS - REF 684482 UTR UTR7519578899,REF-684482,UTR7519578899,CREDIT,INR,3504099.8
BNK_TXN00004,2026-08-03,2026-08-03,78806.03,78806.03,0.0,NEFT CR - APEX GLOBAL LOGISTICS - REF 148050 UTR UTR8995970241,REF-148050,UTR8995970241,CREDIT,INR,2540346.36
BNK_TXN00034,2026-08-05,2026-08-05,6237.33,6237.33,0.0,UPI/CMS SETTLEMENT - SUMMIT TELECOM - 745414 UTR UTR1546696950,745414,UTR1546696950,CREDIT,INR,2592446.86
