bank_txn_id,transaction_date,value_date,amount,credit_amount,debit_amount,description,reference,utr,transaction_type,currency,balance
BNK_TXN00157,2026-08-20,2026-08-20,73148.55,73148.55,0.0,UPI/CMS SETTLEMENT - SOLARIS ENERGY - 412071 UTR UTR5111732824,412071,UTR5111732824,CREDIT,INR,1048433.48
BNK_TXN00187,2026-08-21,2026-08-21,12211.61,12211.61,0.0,NEFT CR - CRESTVIEW REAL ESTATE - REF 144618 UTR UTR5182609867,REF-144618,UTR5182609867,CREDIT,INR,709528.87
BNK_TXN00163,2026-08-06,2026-08-06,6163.12,6163.12,0.0,UPI/CMS SETTLEMENT - Innovate Digital - 640310 UTR UTR1829621429,640310,UTR1829621429,CREDIT,INR,530735.54
BNK_TXN00221,2026-08-16,2026-08-16,12790.02,12790.02,0.0,NEFT CR - AEGIS SECURITY SOLUTIONS - REF 443187 UTR UTR6880115912,REF-443187,UTR6880115912,CREDIT,INR,3356782.45
BNK_TXN00164,2026-08-26,2026-08-26,15595.1,15595.1,0.0,UPI/CMS SETTLEMENT - Solaris Energy Corp Ltd - 710754 UTR UTR6306523372,710754,UTR6306523372,CREDIT,INR,2594277.46
BNK_TXN00086,2026-08-19,2026-08-19,82017.98,82017.98,0.0,NEFT CR - ZENITH FINANCIAL SERVICES - REF 880758 UTR UTR1366637148,REF-880758,UTR1366637148,CREDIT,INR,2091191.36
BNK_TXN00186,2026-08-18,2026-08-18,2686.55,2686.55,0.0,NEFT CR - NEXUS RETAIL SOLUTIONS - REF 767678 UTR UTR7668801906,REF-767678,UTR7668801906,CREDIT,INR,3046354.83
BNK_TXN00189_B,2026-08-16,2026-08-16,118611.68,118611.68,0.0,NEFT CR - CRESTVIEW REAL ESTATE - REF 881667 DUP2 UTR UTR4110258855,REF-881667-2,UTR4110258855,CREDIT,INR,2032667.36
BNK_TXN00047,2026-08-10,2026-08-10,8348.28,8348.28,0.0,NEFT CR - HORIZON HEALTHCARE - REF 855053 UTR UTR5071897791,REF-855053,UTR5071897791,CREDIT,INR,918740.08
BNK_TXN00156,2026-08-11,2026-08-11,5823.21,5823.21,0.0,UPI/CMS SETTLEMENT - Quantum Cloud Pvt Ltd - 794395 UTR UTR4124168227,794395,UTR4124168227,CREDIT,INR,3245344.61
BNK_TXN00060,2026-08-22,2026-08-22,7828.16,7828.16,0.0,NEFT CR - OMNI RETAIL VENTURES - REF 533321 UTR UTR5243939720,REF-533321,UTR5243939720,CREDIT,INR,1701753.07
BNK_TXN00007,2026-08-21,2026-08-21,59377.88,59377.88,0.0,NEFT CR - QUANTUM CLOUD SYSTEMS - REF 358607 UTR UTR2970753705,REF-358607,UTR2970753705,CREDIT,INR,4987966.0
BNK_TXN00059,2026-08-14,2026-08-14,9868.92,9868.92,0.0,NEFT CR - SUMMIT TELECOM - REF 827369 UTR UTR4683935600,REF-827369,UTR4683935600,CREDIT,INR,1635794.83
BNK_TXN00028,2026-08-09,2026-08-09,14115.58,14115.58,0.0,NEFT CR - ZENITH FINANCIAL SERVICES - REF 373903 UTR UTR7597996327,REF-373903,UTR7597996327,CREDIT,INR,3778452.77
BNK_TXN00107,2026-08-10,2026-08-10,22257.68,22257.68,0.0,NEFT CR - CRESTVIEW REAL ESTATE - REF 254506 UTR UTR5983503547,REF-254506,UTR5983503547,CREDIT,INR,739655.99
BNK_TXN00037,2026-08-20,2026-08-20,13298.73,13298.73,0.0,NEFT CR - VORTEX MANUFACTURING - REF 973349 UTR UTR7296096954,REF-973349,UTR7296096954,CREDIT,INR,4742337.46
BNK_TXN00190_B,2026-08-14,2026-08-14,289250.08,289250.08,0.0,NEFT CR - SOLARIS ENERGY CORP - REF 921609 DUP2 UTR UTR2401777036,REF-921609-2,UTR2401777036,CREDIT,INR,3558626.86
BNK_BATCH_BATCH012,2026-08-04,2026-08-04,17234.04,17234.04,0.0,RAZORPAY PAYOUT BATCH - 3 TXNS - REF 862847 UTR UTR7026930365,BATCH-862847,UTR7026930365,CREDIT,INR,4904822.87
BNK_TXN00246,2026-08-16,2026-08-16,40432.05,40432.05,0.0,NEFT CR - OMNI RETAIL VENTURES - REF 396020 UTR UTR2721959126,REF-396020,UTR2721959126,CREDIT,INR,535861.28
BNK_TXN00197_A,2026-08-21,2026-08-21,44940.09,44940.09,0.0,NEFT CR - SOLARIS ENERGY CORP - REF 956156 DUP1 UTR UTR4358554365,REF-956156-1,UTR4358554365,CREDIT,INR,3165021.65
BNK_TXN00158,2026-08-07,2026-08-07,14013.34,14013.34,0.0,UPI/CMS SETTLEMENT - BLUEWAVE MARITIME - 404561 UTR UTR7627954353,404561,UTR7627954353,CREDIT,INR,1409306.03
