payment_id,payment_reference,gateway_transaction_id,invoice_id,customer_name,payment_date,amount,currency,status,fee,gst_on_fee,settlement_amount,settlement_id
PAY-00001,PAY-00001,PGTXN-20260001,INV-2026-00001,Acme Technologies Pvt Ltd,2026-08-03,8900.0,INR,CAPTURED,0.0,0.0,8900.0,SET-20260803-001
PAY-00002,PAY-00002,PGTXN-20260002,INV-2026-00002,Nova Retail Solutions,2026-08-05,27500.0,INR,CAPTURED,0.0,0.0,27500.0,SET-20260805-001
PAY-00003,PAY-00003,PGTXN-20260003,INV-2026-00003,BlueSky Logistics,2026-08-04,1800.0,INR,CAPTURED,0.0,0.0,1800.0,SET-20260804-001
PAY-00004,PAY-00004,PGTXN-20260004,INV-2026-00004,GreenLeaf Foods,2026-08-06,10500.0,INR,CAPTURED,0.0,0.0,10500.0,SET-20260806-001
PAY-00005,PAY-00005,PGTXN-20260005,INV-2026-00005,Vertex Systems,2026-08-08,32000.0,INR,CAPTURED,0.0,0.0,32000.0,SET-20260808-001
PAY-00006,PAY-00006,PGTXN-20260006,INV-2026-00006,Orion Healthcare,2026-08-07,2450.0,INR,CAPTURED,0.0,0.0,2450.0,SET-20260807-001
PAY-00007,PAY-00007,PGTXN-20260007,INV-2026-00007,MetroMart India,2026-08-09,12750.0,INR,CAPTURED,0.0,0.0,12750.0,SET-20260809-001
PAY-00008,PAY-00008,PGTXN-20260008,INV-2026-00008,CloudNine Services,2026-08-11,38500.0,INR,CAPTURED,0.0,0.0,38500.0,SET-20260811-001
PAY-00009,PAY-00009,PGTXN-20260009,INV-2026-00009,Apex Manufacturing,2026-08-10,3200.0,INR,CAPTURED,0.0,0.0,3200.0,SET-20260810-001
PAY-00010,PAY-00010,PGTXN-20260010,INV-2026-00010,Sunrise Enterprises,2026-08-12,14500.0,INR,CAPTURED,0.0,0.0,14500.0,SET-20260812-001
PAY-00011,PAY-00011,PGTXN-20260011,INV-2026-00011,Silverline Media,2026-08-14,45000.0,INR,CAPTURED,0.0,0.0,45000.0,SET-20260814-002
PAY-00012,PAY-00012,PGTXN-20260012,INV-2026-00012,PrimeBuild Infra,2026-08-13,4750.0,INR,CAPTURED,0.0,0.0,4750.0,SET-20260813-002
PAY-00013,PAY-00013,PGTXN-20260013,INV-2026-00013,UrbanCart,2026-08-15,16800.0,INR,CAPTURED,0.0,0.0,16800.0,SET-20260815-002
