invoice_id,invoice_date,due_date,customer_name,invoice_amount,currency,status
INV-2026-00001,2026-08-01,2026-08-31,Acme Technologies Pvt Ltd,8900.0,INR,OPEN
INV-2026-00002,2026-08-02,2026-09-01,Nova Retail Solutions,27500.0,INR,OPEN
INV-2026-00003,2026-08-03,2026-09-02,BlueSky Logistics,1800.0,INR,OPEN
INV-2026-00004,2026-08-04,2026-09-03,GreenLeaf Foods,10500.0,INR,OPEN
INV-2026-00005,2026-08-05,2026-09-04,Vertex Systems,32000.0,INR,OPEN
INV-2026-00006,2026-08-06,2026-09-05,Orion Healthcare,2450.0,INR,OPEN
INV-2026-00007,2026-08-07,2026-09-06,MetroMart India,12750.0,INR,OPEN
INV-2026-00008,2026-08-08,2026-09-07,CloudNine Services,38500.0,INR,OPEN
INV-2026-00009,2026-08-09,2026-09-08,Apex Manufacturing,3200.0,INR,OPEN
INV-2026-00010,2026-08-10,2026-09-09,Sunrise Enterprises,14500.0,INR,OPEN
INV-2026-00011,2026-08-11,2026-09-10,Silverline Media,45000.0,INR,OPEN
INV-2026-00012,2026-08-12,2026-09-11,PrimeBuild Infra,4750.0,INR,OPEN
INV-2026-00013,2026-08-13,2026-09-12,UrbanCart,16800.0,INR,OPEN
INV-2026-00014,2026-08-14,2026-09-13,Zenith Consulting,56000.0,INR,OPEN
INV-2026-00015,2026-08-15,2026-09-14,Everest Electronics,5600.0,INR,OPEN
INV-2026-00016,2026-08-16,2026-09-15,BrightPath Education,19250.0,INR,OPEN
INV-2026-00017,2026-08-17,2026-09-16,RapidRoute Couriers,75000.0,INR,OPEN
INV-2026-00018,2026-08-18,2026-09-17,NorthStar Energy,7250.0,INR,OPEN
INV-2026-00019,2026-08-19,2026-09-18,Crescent Textiles,22500.0,INR,OPEN
INV-2026-00020,2026-08-20,2026-09-19,Lakeview Hospitality,1250.0,INR,OPEN
INV-2026-00021,2026-08-21,2026-09-20,Acme Technologies Pvt Ltd,8900.0,INR,OPEN
INV-2026-00022,2026-08-22,2026-09-21,Nova Retail Solutions,27500.0,INR,OPEN
INV-2026-00023,2026-08-23,2026-09-22,BlueSky Logistics,1800.0,INR,OPEN
INV-2026-00024,2026-08-24,2026-09-23,GreenLeaf Foods,10500.0,INR,OPEN
INV-2026-00025,2026-08-01,2026-08-31,Vertex Systems,32000.0,INR,OPEN
INV-2026-00026,2026-08-02,2026-09-01,Orion Healthcare,2450.0,INR,OPEN
INV-2026-00027,2026-08-03,2026-09-02,MetroMart India,12750.0,INR,OPEN
INV-2026-00028,2026-08-04,2026-09-03,CloudNine Services,38500.0,INR,OPEN
INV-2026-00029,2026-08-05,2026-09-04,Apex Manufacturing,3200.0,INR,OPEN
INV-2026-00030,2026-08-06,2026-09-05,Sunrise Enterprises,14500.0,INR,OPEN
INV-2026-00031,2026-08-07,2026-09-06,Silverline Media,45000.0,INR,OPEN
INV-2026-00032,2026-08-08,2026-09-07,PrimeBuild Infra,4750.0,INR,OPEN
INV-2026-00033,2026-08-09,2026-09-08,UrbanCart,16800.0,INR,OPEN
INV-2026-00034,2026-08-10,2026-09-09,Zenith Consulting,56000.0,INR,OPEN
INV-2026-00035,2026-08-11,2026-09-10,Everest Electronics,5600.0,INR,OPEN
INV-2026-00036,2026-08-12,2026-09-11,BrightPath Education,19250.0,INR,OPEN
INV-2026-00037,2026-08-13,2026-09-12,RapidRoute Couriers,75000.0,INR,OPEN
INV-2026-00038,2026-08-14,2026-09-13,NorthStar Energy,7250.0,INR,OPEN
INV-2026-00039,2026-08-15,2026-09-14,Crescent Textiles,22500.0,INR,OPEN
INV-2026-00040,2026-08-16,2026-09-15,Lakeview Hospitality,1250.0,INR,OPEN
INV-2026-00041,2026-08-17,2026-09-16,Acme Technologies Pvt Ltd,8900.0,INR,OPEN
INV-2026-00042,2026-08-18,2026-09-17,Nova Retail Solutions,27500.0,INR,OPEN
INV-2026-00043,2026-08-19,2026-09-18,BlueSky Logistics,1800.0,INR,OPEN
INV-2026-00044,2026-08-20,2026-09-19,GreenLeaf Foods,10500.0,INR,OPEN
INV-2026-00045,2026-08-21,2026-09-20,Vertex Systems,32000.0,INR,OPEN
INV-2026-00046,2026-08-22,2026-09-21,Orion Healthcare,2450.0,INR,OPEN
INV-2026-00047,2026-08-23,2026-09-22,MetroMart India,12750.0,INR,OPEN
INV-2026-00048,2026-08-24,2026-09-23,CloudNine Services,38500.0,INR,OPEN
INV-2026-00049,2026-08-01,2026-08-31,Apex Manufacturing,3200.0,INR,OPEN
INV-2026-00050,2026-08-02,2026-09-01,Sunrise Enterprises,14500.0,INR,OPEN
INV-2026-00051,2026-08-03,2026-09-02,Silverline Media,45000.0,INR,OPEN
INV-2026-00052,2026-08-04,2026-09-03,PrimeBuild Infra,4750.0,INR,OPEN
INV-2026-00053,2026-08-05,2026-09-04,UrbanCart,16800.0,INR,OPEN
INV-2026-00054,2026-08-06,2026-09-05,Zenith Consulting,56000.0,INR,OPEN
INV-2026-00055,2026-08-07,2026-09-06,Everest Electronics,5600.0,INR,OPEN
INV-2026-00056,2026-08-08,2026-09-07,BrightPath Education,19250.0,INR,OPEN
INV-2026-00057,2026-08-09,2026-09-08,RapidRoute Couriers,75000.0,INR,OPEN
INV-2026-00058,2026-08-10,2026-09-09,NorthStar Energy,7250.0,INR,OPEN
INV-2026-00059,2026-08-11,2026-09-10,Crescent Textiles,22500.0,INR,OPEN
INV-2026-00060,2026-08-12,2026-09-11,Lakeview Hospitality,1250.0,INR,OPEN
INV-2026-00061,2026-08-13,2026-09-12,Acme Technologies Pvt Ltd,8900.0,INR,OPEN
INV-2026-00062,2026-08-14,2026-09-13,Nova Retail Solutions,27500.0,INR,OPEN
INV-2026-00063,2026-08-15,2026-09-14,BlueSky Logistics,1800.0,INR,OPEN
INV-2026-00064,2026-08-16,2026-09-15,GreenLeaf Foods,10500.0,INR,OPEN
INV-2026-00065,2026-08-17,2026-09-16,Vertex Systems,32000.0,INR,OPEN
INV-2026-00066,2026-08-18,2026-09-17,Orion Healthcare,2450.0,INR,OPEN
INV-2026-00067,2026-08-19,2026-09-18,MetroMart India,12750.0,INR,OPEN
INV-2026-00068,2026-08-20,2026-09-19,CloudNine Services,38500.0,INR,OPEN
INV-2026-00069,2026-08-21,2026-09-20,Apex Manufacturing,3200.0,INR,OPEN
INV-2026-00070,2026-08-22,2026-09-21,Sunrise Enterprises,14500.0,INR,OPEN
INV-2026-00071,2026-08-23,2026-09-22,Silverline Media,45000.0,INR,OPEN
INV-2026-00072,2026-08-24,2026-09-23,PrimeBuild Infra,4750.0,INR,OPEN
INV-2026-00073,2026-08-01,2026-08-31,UrbanCart,16800.0,INR,OPEN
INV-2026-00074,2026-08-02,2026-09-01,Zenith Consulting,56000.0,INR,OPEN
INV-2026-00075,2026-08-03,2026-09-02,Everest Electronics,5600.0,INR,OPEN
INV-2026-00076,2026-08-04,2026-09-03,BrightPath Education,19250.0,INR,OPEN
INV-2026-00077,2026-08-05,2026-09-04,RapidRoute Couriers,75000.0,INR,OPEN
INV-2026-00078,2026-08-06,2026-09-05,NorthStar Energy,7250.0,INR,OPEN
INV-2026-00079,2026-08-07,2026-09-06,Crescent Textiles,22500.0,INR,OPEN
INV-2026-00080,2026-08-08,2026-09-07,Lakeview Hospitality,1250.0,INR,OPEN
INV-2026-00081,2026-08-09,2026-09-08,Acme Technologies Pvt Ltd,8900.0,INR,OPEN
INV-2026-00082,2026-08-10,2026-09-09,Nova Retail Solutions,27500.0,INR,OPEN
INV-2026-00083,2026-08-11,2026-09-10,BlueSky Logistics,1800.0,INR,OPEN
INV-2026-00084,2026-08-12,2026-09-11,GreenLeaf Foods,10500.0,INR,OPEN
INV-2026-00085,2026-08-13,2026-09-12,Vertex Systems,32000.0,INR,OPEN
INV-2026-00086,2026-08-14,2026-09-13,Orion Healthcare,2450.0,INR,OPEN
INV-2026-00087,2026-08-15,2026-09-14,MetroMart India,12750.0,INR,OPEN
INV-2026-00088,2026-08-16,2026-09-15,CloudNine Services,38500.0,INR,OPEN
INV-2026-00089,2026-08-17,2026-09-16,Apex Manufacturing,3200.0,INR,OPEN
INV-2026-00090,2026-08-18,2026-09-17,Sunrise Enterprises,14500.0,INR,OPEN
INV-2026-00091,2026-08-19,2026-09-18,Silverline Media,45000.0,INR,OPEN
INV-2026-00092,2026-08-20,2026-09-19,PrimeBuild Infra,4750.0,INR,OPEN
INV-2026-00093,2026-08-21,2026-09-20,UrbanCart,16800.0,INR,OPEN
INV-2026-00094,2026-08-22,2026-09-21,Zenith Consulting,56000.0,INR,OPEN
INV-2026-00095,2026-08-23,2026-09-22,Everest Electronics,5600.0,INR,OPEN
INV-2026-00096,2026-08-24,2026-09-23,BrightPath Education,19250.0,INR,OPEN
INV-2026-00097,2026-08-01,2026-08-31,RapidRoute Couriers,75000.0,INR,OPEN
INV-2026-00098,2026-08-02,2026-09-01,NorthStar Energy,7250.0,INR,OPEN
INV-2026-00099,2026-08-03,2026-09-02,Crescent Textiles,22500.0,INR,OPEN
INV-2026-00100,2026-08-04,2026-09-03,Lakeview Hospitality,1250.0,INR,OPEN
