invoice_id,order_id,invoice_date,due_date,customer_name,customer_id,customer_email,amount,tax_amount,currency,invoice_reference,status
INV_TXN00060,ORD_221552,2026-08-20,2026-09-19,Omni Retail Ventures,CUST_9889,billing@omniretailventures.com,8017.37,1443.13,INR,INV-533321,PAID
INV_TXN00070,ORD_366314,2026-08-15,2026-09-14,Omni Retail Ventures,CUST_1153,billing@omniretailventures.com,28427.93,5117.03,INR,INV-401603,PAID
INV_TXN00189,ORD_413814,2026-08-14,2026-09-13,Crestview Real Estate,CUST_4803,billing@crestviewrealestate.com,121478.57,21866.14,INR,INV-881667,PAID
INV_TXN00026,ORD_125990,2026-08-13,2026-09-12,Horizon Healthcare,CUST_7745,billing@horizonhealthcare.com,10668.53,1920.34,INR,INV-379766,PAID
INV_TXN00101,ORD_154909,2026-08-09,2026-09-08,Pinnacle Food Products,CUST_2079,billing@pinnaclefoodproducts.com,6105.18,1098.93,INR,INV-199096,PAID
INV_TXN00250,ORD_197545,2026-08-05,2026-09-04,Omni Retail Ventures,CUST_7461,billing@omniretailventures.com,1885.87,339.46,INR,INV-884229,PAID
INV_TXN00137,ORD_626986,2026-08-04,2026-09-03,Silverline Chemicals,CUST_3762,accounts@silverlinechemicals.com,9474.46,1705.4,INR,INV-772124,PAID
INV_TXN00036,ORD_399607,2026-08-13,2026-09-12,Pinnacle Food Products,CUST_6502,billing@pinnaclefoodproducts.com,2687.04,483.67,INR,INV-666390,PAID
INV_TXN00171,ORD_297636,2026-08-15,2026-09-14,Summit Telecom,CUST_1724,finance@summittelecom.com,9112.19,1640.19,INR,INV/316092,PAID
INV_TXN00068,ORD_897305,2026-08-11,2026-09-10,Starlight Media Works,CUST_8269,billing@starlightmediaworks.com,919.74,165.55,INR,INV-827712,PAID
INV_TXN00014,ORD_698782,2026-08-14,2026-09-13,Aegis Security Solutions,CUST_4981,billing@aegissecuritysolutions.com,1867.72,336.19,INR,INV-946721,PAID
INV_TXN00047,ORD_641722,2026-08-08,2026-09-07,Horizon Healthcare,CUST_2402,billing@horizonhealthcare.com,8550.06,1539.01,INR,INV-855053,PAID
INV_TXN00220,ORD_381770,2026-08-03,2026-09-02,BlueWave Maritime,CUST_9447,billing@bluewavemaritime.com,12021.68,2163.9,INR,INV-573947,CANCELLED
INV_TXN00193,ORD_471106,2026-08-03,2026-09-02,BlueWave Maritime,CUST_4977,billing@bluewavemaritime.com,6123.09,1102.16,INR,INV-112940,PAID
INV_TXN00037,ORD_668969,2026-08-19,2026-09-18,Vortex Manufacturing,CUST_2020,billing@vortexmanufacturing.com,13620.16,2451.63,INR,INV-973349,PAID
INV_TXN00007,ORD_623481,2026-08-19,2026-09-18,Quantum Cloud Systems,CUST_5339,billing@quantumcloudsystems.com,60813.07,10946.35,INR,INV-358607,PAID
INV_TXN00149,ORD_520040,2026-08-03,2026-09-02,Titanium Infrastructure,CUST_4189,accounts@titaniuminfrastructure.com,5979.01,1076.22,INR,INV-153642,PAID
INV_TXN00212,ORD_304607,2026-08-16,2026-09-15,Metro Mobility Cabs,CUST_8272,billing@metromobilitycabs.com,49776.42,8959.76,INR,INV-629990,PAID
INV_TXN00001,ORD_770487,2026-08-18,2026-09-17,Horizon Healthcare,CUST_5506,billing@horizonhealthcare.com,1986.18,357.51,INR,INV-334053,PAID
INV_TXN00139,ORD_185168,2026-08-04,2026-09-03,Vortex Manufacturing,CUST_5336,accounts@vortexmanufacturing.com,7902.63,1422.47,INR,INV-147670,PAID
INV_TXN00063,ORD_678043,2026-08-03,2026-09-02,Innovate Digital Labs,CUST_4122,billing@innovatedigitallabs.com,26603.21,4788.58,INR,INV-632929,PAID
INV_TXN00241,ORD_130782,2026-08-21,2026-09-20,Crestview Real Estate,CUST_9128,billing@crestviewrealestate.com,14638.23,2634.88,INR,INV-166974,ISSUED
INV_TXN00170,ORD_512151,2026-08-14,2026-09-13,Horizon Healthcare,CUST_5055,finance@horizonhealthcare.com,10926.86,1966.83,INR,INV/412856,PAID
INV_TXN00192,ORD_105447,2026-08-15,2026-09-14,Solaris Energy Corp,CUST_9395,billing@solarisenergycorp.com,3217.18,579.09,INR,INV-207197,PAID
INV_TXN00011,ORD_480612,2026-08-16,2026-09-15,Horizon Healthcare,CUST_1949,billing@horizonhealthcare.com,134261.38,24167.05,INR,INV-694916,PAID
INV_TXN00016,ORD_361941,2026-08-03,2026-09-02,Nexus Retail Solutions,CUST_2604,billing@nexusretailsolutions.com,434411.03,78193.99,INR,INV-783823,PAID
INV_TXN00244,ORD_594681,2026-08-18,2026-09-17,Quantum Cloud Systems,CUST_7870,billing@quantumcloudsystems.com,442994.08,79738.93,INR,INV-287654,PAID
INV_TXN00157,ORD_301603,2026-08-16,2026-09-15,Solaris Energy Corp,CUST_6714,finance@solarisenergycorp.com,74916.58,13484.98,INR,INV/412071,PAID
INV_TXN00161,ORD_193806,2026-08-10,2026-09-09,Summit Telecom,CUST_5888,finance@summittelecom.com,7683.07,1382.95,INR,INV/976822,PAID
INV_TXN00242,ORD_577309,2026-08-06,2026-09-05,Nexus Retail Solutions,CUST_2685,billing@nexusretailsolutions.com,29184.92,5253.29,INR,INV-623879,CANCELLED
INV_TXN00219,ORD_239136,2026-08-13,2026-09-12,Pinnacle Food Products,CUST_3329,billing@pinnaclefoodproducts.com,12731.56,2291.68,INR,INV-968726,CANCELLED
INV_TXN00021,ORD_630458,2026-08-18,2026-09-17,Apex Global Logistics,CUST_6718,billing@apexgloballogistics.com,2787.33,501.72,INR,INV-356150,PAID
INV_TXN00086,ORD_972176,2026-08-18,2026-09-17,Zenith Financial Services,CUST_8075,billing@zenithfinancialservices.com,84000.39,15120.07,INR,INV-880758,PAID
INV_TXN00059,ORD_209680,2026-08-13,2026-09-12,Summit Telecom,CUST_6403,billing@summittelecom.com,10107.46,1819.34,INR,INV-827369,PAID
INV_TXN00248,ORD_897423,2026-08-18,2026-09-17,Quantum Cloud Systems,CUST_1157,billing@quantumcloudsystems.com,109564.1,19721.54,INR,INV-106687,CANCELLED
INV_TXN00081,ORD_127032,2026-08-02,2026-09-01,Horizon Healthcare,CUST_6869,billing@horizonhealthcare.com,3026.57,544.78,INR,INV-717457,PAID
INV_TXN00048,ORD_332360,2026-08-18,2026-09-17,Aegis Security Solutions,CUST_7046,billing@aegissecuritysolutions.com,6669.81,1200.57,INR,INV-680358,PAID
INV_TXN00209,ORD_986589,2026-08-04,2026-09-03,Innovate Digital Labs,CUST_6003,billing@innovatedigitallabs.com,2442.24,439.6,INR,INV-718836,PAID
INV_TXN00010,ORD_857168,2026-08-06,2026-09-05,Crestview Real Estate,CUST_5889,billing@crestviewrealestate.com,5921.75,1065.91,INR,INV-738551,PAID
INV_TXN00156,ORD_530311,2026-08-06,2026-09-05,Quantum Cloud Systems,CUST_6608,finance@quantumcloudsystems.com,5963.96,1073.51,INR,INV/794395,PAID
INV_TXN00140,ORD_606404,2026-08-11,2026-09-10,Paramount Consulting Group,CUST_7653,accounts@paramountconsultinggroup.com,5081.9,914.74,INR,INV-356773,PAID
INV_TXN00196,ORD_450996,2026-08-13,2026-09-12,Innovate Digital Labs,CUST_6228,billing@innovatedigitallabs.com,5055.66,910.02,INR,INV-829066,PAID
INV_TXN00235,ORD_899776,2026-08-02,2026-09-01,Silverline Chemicals,CUST_9300,billing@silverlinechemicals.com,3628.27,653.09,INR,INV-170813,CANCELLED
INV_TXN00148,ORD_726543,2026-08-07,2026-09-06,Paramount Consulting Group,CUST_8710,accounts@paramountconsultinggroup.com,5830.22,1049.44,INR,INV-983791,PAID
