invoice_id,order_id,invoice_date,due_date,customer_name,customer_id,customer_email,amount,tax_amount,currency,invoice_reference,status
INV_TXN00034,ORD_681343,2026-08-01,2026-08-31,Summit Telecom,CUST_4443,finance@summittelecom.com,6388.09,1149.86,INR,INV/745414,PAID
INV_TXN00029,ORD_379766,2026-08-09,2026-09-08,BlueWave Maritime,CUST_2771,accounts@bluewavemaritime.com,8849.5,1592.91,INR,INV-266931,PAID
INV_TXN00047,ORD_154615,2026-08-01,2026-08-31,Apex Global Logistics,CUST_4266,billing@apexgloballogistics.com,116103.26,20898.59,INR,INV-919182,ISSUED
INV_TXN00014,ORD_698782,2026-08-14,2026-09-13,Aegis Security Solutions,CUST_4981,billing@aegissecuritysolutions.com,1867.72,336.19,INR,INV-946721,PAID
INV_TXN00028,ORD_750810,2026-08-13,2026-09-12,Horizon Healthcare,CUST_3532,accounts@horizonhealthcare.com,8781.45,1580.66,INR,INV-885884,PAID
INV_TXN00008,ORD_245051,2026-08-14,2026-09-13,Nexus Retail Solutions,CUST_2489,billing@nexusretailsolutions.com,2819.74,507.55,INR,INV-214975,PAID
INV_TXN00030,ORD_333238,2026-08-09,2026-09-08,Titanium Infrastructure,CUST_8541,accounts@titaniuminfrastructure.com,3746.72,674.41,INR,INV-309267,PAID
INV_TXN00045,ORD_981334,2026-08-09,2026-09-08,Summit Telecom,CUST_6363,billing@summittelecom.com,30446.97,5480.45,INR,INV-242291,CANCELLED
INV_TXN00026,ORD_482364,2026-08-13,2026-09-12,Titanium Infrastructure,CUST_1653,accounts@titaniuminfrastructure.com,2890.69,520.32,INR,INV-934794,PAID
INV_TXN00048,ORD_979995,2026-08-19,2026-09-18,Quantum Cloud Systems,CUST_8619,billing@quantumcloudsystems.com,10207.15,1837.29,INR,INV-350132,ISSUED
INV_TXN00049,ORD_833442,2026-08-06,2026-09-05,Innovate Digital Labs,CUST_2771,billing@innovatedigitallabs.com,387342.89,69721.72,INR,INV-736745,CANCELLED
INV_TXN00043,ORD_902784,2026-08-13,2026-09-12,Aegis Security Solutions,CUST_9818,billing@aegissecuritysolutions.com,219445.06,39500.11,INR,INV-106182,PAID
INV_TXN00021,ORD_630458,2026-08-18,2026-09-17,Apex Global Logistics,CUST_6718,billing@apexgloballogistics.com,2787.33,501.72,INR,INV-356150,PAID
