transaction_id,transaction_date,value_date,bank_reference,narration,customer_name,amount,transaction_type,currency,settlement_id
BANK-00001,2026-08-06,2026-08-06,SET-20260803-001,PAYMENT SETTLEMENT PGTXN-20260001 INV-2026-00001,Acme Technologies Pvt Ltd,8900.0,CREDIT,INR,SET-20260803-001
BANK-00002,2026-08-07,2026-08-07,SET-20260805-001,PAYMENT SETTLEMENT PGTXN-20260002 INV-2026-00002,Nova Retail Solutions,27500.0,CREDIT,INR,SET-20260805-001
BANK-00003,2026-08-07,2026-08-07,SET-20260804-001,PAYMENT SETTLEMENT PGTXN-20260003 INV-2026-00003,BlueSky Logistics,1800.0,CREDIT,INR,SET-20260804-001
BANK-00004,2026-08-08,2026-08-09,SET-20260806-001,PAYMENT SETTLEMENT PGTXN-20260004 INV-2026-00004,GreenLeaf Foods,10500.0,CREDIT,INR,SET-20260806-001
BANK-00005,2026-08-11,2026-08-11,SET-20260808-001,PAYMENT SETTLEMENT PGTXN-20260005 INV-2026-00005,Vertex Systems,32000.0,CREDIT,INR,SET-20260808-001
BANK-00006,2026-08-09,2026-08-09,SET-20260807-001,PAYMENT SETTLEMENT PGTXN-20260006 INV-2026-00006,Orion Healthcare,2450.0,CREDIT,INR,SET-20260807-001
BANK-00007,2026-08-12,2026-08-12,SET-20260809-001,PAYMENT SETTLEMENT PGTXN-20260007 INV-2026-00007,MetroMart India,12750.0,CREDIT,INR,SET-20260809-001
BANK-00008,2026-08-13,2026-08-14,SET-20260811-001,PAYMENT SETTLEMENT PGTXN-20260008 INV-2026-00008,CloudNine Services,38500.0,CREDIT,INR,SET-20260811-001
BANK-00009,2026-08-13,2026-08-13,SET-20260810-001,PAYMENT SETTLEMENT PGTXN-20260009 INV-2026-00009,Apex Manufacturing,3200.0,CREDIT,INR,SET-20260810-001
BANK-00010,2026-08-14,2026-08-14,SET-20260812-001,PAYMENT SETTLEMENT PGTXN-20260010 INV-2026-00010,Sunrise Enterprises,14500.0,CREDIT,INR,SET-20260812-001
BANK-00011,2026-08-17,2026-08-17,SET-20260814-002,PAYMENT SETTLEMENT PGTXN-20260011 INV-2026-00011,Silverline Media,45000.0,CREDIT,INR,SET-20260814-002
BANK-00012,2026-08-15,2026-08-16,SET-20260813-002,PAYMENT SETTLEMENT PGTXN-20260012 INV-2026-00012,PrimeBuild Infra,4750.0,CREDIT,INR,SET-20260813-002
BANK-00013,2026-08-18,2026-08-18,SET-20260815-002,PAYMENT SETTLEMENT PGTXN-20260013 INV-2026-00013,UrbanCart,16800.0,CREDIT,INR,SET-20260815-002
BANK-00014,2026-08-19,2026-08-19,SET-20260817-002,PAYMENT SETTLEMENT PGTXN-20260014 INV-2026-00014,Zenith Consulting,56000.0,CREDIT,INR,SET-20260817-002
BANK-00015,2026-08-19,2026-08-19,SET-20260816-002,PAYMENT SETTLEMENT PGTXN-20260015 INV-2026-00015,Everest Electronics,5600.0,CREDIT,INR,SET-20260816-002
BANK-00016,2026-08-20,2026-08-21,SET-20260818-002,PAYMENT SETTLEMENT PGTXN-20260016 INV-2026-00016,BrightPath Education,19250.0,CREDIT,INR,SET-20260818-002
BANK-00017,2026-08-23,2026-08-23,SET-20260820-002,PAYMENT SETTLEMENT PGTXN-20260017 INV-2026-00017,RapidRoute Couriers,75000.0,CREDIT,INR,SET-20260820-002
BANK-00018,2026-08-21,2026-08-21,SET-20260819-002,PAYMENT SETTLEMENT PGTXN-20260018 INV-2026-00018,NorthStar Energy,7250.0,CREDIT,INR,SET-20260819-002
BANK-00019,2026-08-24,2026-08-24,SET-20260821-002,PAYMENT SETTLEMENT PGTXN-20260019 INV-2026-00019,Crescent Textiles,22500.0,CREDIT,INR,SET-20260821-002
BANK-00020,2026-08-25,2026-08-26,SET-20260823-002,PAYMENT SETTLEMENT PGTXN-20260020 INV-2026-00020,Lakeview Hospitality,1250.0,CREDIT,INR,SET-20260823-002
BANK-00021,2026-08-25,2026-08-25,SET-20260822-003,PAYMENT SETTLEMENT PGTXN-20260021 INV-2026-00021,Acme Technologies Pvt Ltd,8900.0,CREDIT,INR,SET-20260822-003
BANK-00022,2026-08-26,2026-08-26,SET-20260824-003,PAYMENT SETTLEMENT PGTXN-20260022 INV-2026-00022,Nova Retail Solutions,27500.0,CREDIT,INR,SET-20260824-003
BANK-00023,2026-08-29,2026-08-29,SET-20260826-003,PAYMENT SETTLEMENT PGTXN-20260023 INV-2026-00023,BlueSky Logistics,1800.0,CREDIT,INR,SET-20260826-003
BANK-00024,2026-08-27,2026-08-28,SET-20260825-003,PAYMENT SETTLEMENT PGTXN-20260024 INV-2026-00024,GreenLeaf Foods,10500.0,CREDIT,INR,SET-20260825-003
BANK-00025,2026-08-06,2026-08-06,SET-20260803-003,PAYMENT SETTLEMENT PGTXN-20260025 INV-2026-00025,Vertex Systems,32000.0,CREDIT,INR,SET-20260803-003
BANK-00026,2026-08-07,2026-08-07,SET-20260805-003,PAYMENT SETTLEMENT PGTXN-20260026 INV-2026-00026,Orion Healthcare,2450.0,CREDIT,INR,SET-20260805-003
BANK-00027,2026-08-07,2026-08-07,SET-20260804-003,PAYMENT SETTLEMENT PGTXN-20260027 INV-2026-00027,MetroMart India,12750.0,CREDIT,INR,SET-20260804-003
BANK-00028,2026-08-08,2026-08-09,SET-20260806-003,PAYMENT SETTLEMENT PGTXN-20260028 INV-2026-00028,CloudNine Services,38500.0,CREDIT,INR,SET-20260806-003
BANK-00029,2026-08-11,2026-08-11,SET-20260808-003,PAYMENT SETTLEMENT PGTXN-20260029 INV-2026-00029,Apex Manufacturing,3200.0,CREDIT,INR,SET-20260808-003
BANK-00030,2026-08-09,2026-08-09,SET-20260807-003,PAYMENT SETTLEMENT PGTXN-20260030 INV-2026-00030,Sunrise Enterprises,14500.0,CREDIT,INR,SET-20260807-003
BANK-00031,2026-08-12,2026-08-12,SET-20260809-004,PAYMENT SETTLEMENT PGTXN-20260031 INV-2026-00031,Silverline Media,45000.0,CREDIT,INR,SET-20260809-004
BANK-00032,2026-08-17,2026-08-14,SET-20260811-004,PAYMENT SETTLEMENT PGTXN-20260032 INV-2026-00032,PrimeBuild Infra,4750.0,CREDIT,INR,SET-20260811-004
BANK-00033,2026-08-13,2026-08-13,SET-20260810-004,PAYMENT SETTLEMENT PGTXN-20260033 INV-2026-00033,UrbanCart,16800.0,CREDIT,INR,SET-20260810-004
BANK-00034,2026-08-14,2026-08-14,SET-20260812-004,PAYMENT SETTLEMENT PGTXN-20260034 INV-2026-00034,Zenith Consulting,56000.0,CREDIT,INR,SET-20260812-004
BANK-00035,2026-08-17,2026-08-17,SET-20260814-004,PAYMENT SETTLEMENT PGTXN-20260035 INV-2026-00035,Everest Electronics,5600.0,CREDIT,INR,SET-20260814-004
BANK-00036,2026-08-15,2026-08-16,SET-20260813-004,PAYMENT SETTLEMENT PGTXN-20260036 INV-2026-00036,BrightPath Education,19250.0,CREDIT,INR,SET-20260813-004
BANK-00037,2026-08-18,2026-08-18,SET-20260815-004,PAYMENT SETTLEMENT PGTXN-20260037 INV-2026-00037,RapidRoute Couriers,75000.0,CREDIT,INR,SET-20260815-004
BANK-00038,2026-08-19,2026-08-19,SET-20260817-004,PAYMENT SETTLEMENT PGTXN-20260038 INV-2026-00038,NorthStar Energy,7250.0,CREDIT,INR,SET-20260817-004
BANK-00039,2026-08-19,2026-08-19,SET-20260816-004,PAYMENT SETTLEMENT PGTXN-20260039 INV-2026-00039,Crescent Textiles,22500.0,CREDIT,INR,SET-20260816-004
BANK-00040,2026-08-20,2026-08-21,SET-20260818-004,PAYMENT SETTLEMENT PGTXN-20260040 INV-2026-00040,Lakeview Hospitality,1250.0,CREDIT,INR,SET-20260818-004
BANK-00041,2026-08-23,2026-08-23,SET-20260820-005,PAYMENT SETTLEMENT PGTXN-20260041 INV-2026-00041,Acme Technologies Pvt Ltd,8900.0,CREDIT,INR,SET-20260820-005
BANK-00042,2026-08-21,2026-08-21,SET-20260819-005,PAYMENT SETTLEMENT PGTXN-20260042 INV-2026-00042,Nova Retail Solutions,27500.0,CREDIT,INR,SET-20260819-005
BANK-00043,2026-08-24,2026-08-24,SET-20260821-005,PAYMENT SETTLEMENT PGTXN-20260043 INV-2026-00043,BlueSky Logistics,1800.0,CREDIT,INR,SET-20260821-005
BANK-00044,2026-08-25,2026-08-26,SET-20260823-005,PAYMENT SETTLEMENT PGTXN-20260044 INV-2026-00044,GreenLeaf Foods,10500.0,CREDIT,INR,SET-20260823-005
BANK-00045,2026-08-25,2026-08-25,SET-20260822-005,PAYMENT SETTLEMENT PGTXN-20260045 INV-2026-00045,Vertex Systems,32000.0,CREDIT,INR,SET-20260822-005
BANK-00046,2026-08-26,2026-08-26,SET-20260824-005,PAYMENT SETTLEMENT PGTXN-20260046 INV-2026-00046,Orion Healthcare,2450.0,CREDIT,INR,SET-20260824-005
BANK-00047,2026-08-29,2026-08-29,SET-20260826-005,PAYMENT SETTLEMENT PGTXN-20260047 INV-2026-00047,MetroMart India,12750.0,CREDIT,INR,SET-20260826-005
BANK-00048,2026-08-27,2026-08-28,SET-20260825-005,PAYMENT SETTLEMENT PGTXN-20260048 INV-2026-00048,CloudNine Services,38500.0,CREDIT,INR,SET-20260825-005
BANK-00049,2026-08-06,2026-08-06,SET-20260803-005,PAYMENT SETTLEMENT PGTXN-20260049 INV-2026-00049,Apex Manufacturing,3200.0,CREDIT,INR,SET-20260803-005
BANK-00050,2026-08-07,2026-08-07,SET-20260805-005,PAYMENT SETTLEMENT PGTXN-20260050 INV-2026-00050,Sunrise Enterprises,14500.0,CREDIT,INR,SET-20260805-005
BANK-00051,2026-08-07,2026-08-07,SET-20260804-006,PAYMENT SETTLEMENT PGTXN-20260051 INV-2026-00051,Silverline Media,45000.0,CREDIT,INR,SET-20260804-006
BANK-00052,2026-08-08,2026-08-09,SET-20260806-006,PAYMENT SETTLEMENT PGTXN-20260052 INV-2026-00052,PrimeBuild Infra,4750.0,CREDIT,INR,SET-20260806-006
BANK-00053,2026-08-11,2026-08-11,SET-20260808-006,PAYMENT SETTLEMENT PGTXN-20260053 INV-2026-00053,UrbanCart,16800.0,CREDIT,INR,SET-20260808-006
BANK-00054,2026-08-09,2026-08-09,SET-20260807-006,PAYMENT SETTLEMENT PGTXN-20260054 INV-2026-00054,Zenith Consulting,56000.0,CREDIT,INR,SET-20260807-006
BANK-00055,2026-08-12,2026-08-12,SET-20260809-006,PAYMENT SETTLEMENT PGTXN-20260055 INV-2026-00055,Everest Electronics,5600.0,CREDIT,INR,SET-20260809-006
